no_langganan,nama_pelanggan,alamat,no_telp,status,golongan,stand_awal,stand_akhir,pemakaian,tagihan,bulan
3990186,Budi Kusuma,Bayem 18 Rt1/9,3331525,T,RT 3,6029,6036,7,33733,November 2025
3990186,Budi Kusuma,Bayem 18 Rt1/9,3131673,T,RT 3,6036,6042,6,37470,Desember 2025
3990186,Budi Kusuma,Bayem 18 Rt1/9,3284100,T,RT 3,6042,6048,6,33690,Januari 2026
3990186,Budi Kusuma,Bayem 18 Rt1/9,3306724,T,RT 3,6048,6054,6,40698,Februari 2026
3990187,Wahyu Lestari,Medoho 1 Rt6/3,3292941,T,RT 3,5569,5577,8,36488,September 2025
3990187,Wahyu Lestari,Medoho 1 Rt6/3,3508294,Y,RT 3,5577,5584,7,39648,Oktober 2025
3990187,Wahyu Lestari,Medoho 1 Rt6/3,3386453,T,RT 3,5584,5591,7,41776,November 2025
3990187,Wahyu Lestari,Medoho 1 Rt6/3,3968331,T,RT 3,5591,5599,8,36240,Desember 2025
3990187,Wahyu Lestari,Medoho 1 Rt6/3,3468697,T,RT 3,5599,5606,7,42728,Januari 2026
3990187,Wahyu Lestari,Medoho 1 Rt6/3,3887199,Y,RT 3,5606,5613,7,40971,Februari 2026
3990188,Wahyu Lestari,Salak 5 Rt6/7,3285541,T,RT 3,4906,4918,12,73056,September 2025
3990188,Wahyu Lestari,Salak 5 Rt6/7,3568451,T,RT 3,4918,4929,11,71852,Oktober 2025
3990188,Wahyu Lestari,Salak 5 Rt6/7,3364291,T,RT 3,4929,4939,10,50960,November 2025
3990188,Wahyu Lestari,Salak 5 Rt6/7,3809163,Y,RT 3,4939,4951,12,72972,Desember 2025
3990188,Wahyu Lestari,Salak 5 Rt6/7,3741404,T,RT 3,4951,4961,10,47540,Januari 2026
3990188,Wahyu Lestari,Salak 5 Rt6/7,3699649,T,RT 3,4961,4971,10,57870,Februari 2026
3990189,Doni Wijaya,Bayem 8 Rt1/3,3411997,T,RT 4,5423,5442,19,124906,September 2025
3990189,Doni Wijaya,Bayem 8 Rt1/3,3440134,T,RT 4,5442,5461,19,132240,Oktober 2025
3990189,Doni Wijaya,Bayem 8 Rt1/3,3736548,T,RT 4,5461,5478,17,95115,November 2025
3990189,Doni Wijaya,Bayem 8 Rt1/3,3553572,T,RT 4,5478,5496,18,115344,Desember 2025
3990189,Doni Wijaya,Bayem 8 Rt1/3,3475574,T,RT 4,5496,5517,21,128982,Januari 2026
3990189,Doni Wijaya,Bayem 8 Rt1/3,3765329,T,RT 4,5517,5536,19,85823,Februari 2026
3990190,Eka Utama,Kedondong 16 Rt1/1,3512857,Y,RT 4,1677,1697,20,98900,September 2025
3990190,Eka Utama,Kedondong 16 Rt1/1,3377749,Y,RT 4,1697,1718,21,140637,Oktober 2025
3990190,Eka Utama,Kedondong 16 Rt1/1,3481382,T,RT 4,1718,1742,24,139224,November 2025
3990190,Eka Utama,Kedondong 16 Rt1/1,3756884,T,RT 4,1742,1744,2,11834,Desember 2025
3990190,Eka Utama,Kedondong 16 Rt1/1,3883077,T,RT 4,1744,1765,21,110880,Januari 2026
3990190,Eka Utama,Kedondong 16 Rt1/1,3594064,T,RT 4,1765,1858,93,483879,Februari 2026
3990191,Siti Utama,Karang Kimpul 12 Rt5/3,3787823,Y,RT 4,1964,1982,18,104688,September 2025
3990191,Siti Utama,Karang Kimpul 12 Rt5/3,3919555,Y,RT 4,1982,1999,17,100793,Oktober 2025
3990191,Siti Utama,Karang Kimpul 12 Rt5/3,3340270,T,RT 4,1999,2018,19,104747,November 2025
3990191,Siti Utama,Karang Kimpul 12 Rt5/3,3616394,T,RT 4,2018,2037,19,123956,Desember 2025
3990191,Siti Utama,Karang Kimpul 12 Rt5/3,3649633,T,RT 4,2037,2055,18,94572,Januari 2026
3990191,Siti Utama,Karang Kimpul 12 Rt5/3,3421701,Y,RT 4,2055,2072,17,90661,Februari 2026
3990192,Yuni Nugroho,Cerme 14 Rt1/1,3543931,Y,RT 3,2416,2427,11,55605,September 2025
3990192,Yuni Nugroho,Cerme 14 Rt1/1,3162119,T,RT 3,2427,2438,11,53658,Oktober 2025
3990192,Yuni Nugroho,Cerme 14 Rt1/1,3249805,T,RT 3,2438,2450,12,65532,November 2025
3990192,Yuni Nugroho,Cerme 14 Rt1/1,3477224,Y,RT 3,2450,2461,11,72776,Desember 2025
3990192,Yuni Nugroho,Cerme 14 Rt1/1,3464446,T,RT 3,2461,2473,12,65532,Januari 2026
3990192,Yuni Nugroho,Cerme 14 Rt1/1,3933650,Y,RT 3,2473,2483,10,62000,Februari 2026
3990193,Wahyu Susanto,Kinibalu 2 Rt1/3,3510259,T,RT 3,3739,3750,11,49907,September 2025
3990193,Wahyu Susanto,Kinibalu 2 Rt1/3,3152127,T,RT 3,3750,3759,9,55404,Oktober 2025
3990193,Wahyu Susanto,Kinibalu 2 Rt1/3,3432548,Y,RT 3,3759,3771,12,63816,November 2025
3990193,Wahyu Susanto,Kinibalu 2 Rt1/3,3317912,Y,RT 3,3771,3782,11,59620,Desember 2025
3990193,Wahyu Susanto,Kinibalu 2 Rt1/3,3498008,T,RT 3,3782,3792,10,57280,Januari 2026
3990193,Wahyu Susanto,Kinibalu 2 Rt1/3,3905684,Y,RT 3,3792,3803,11,76274,Februari 2026
3990194,Agus Hidayat,Purwosari 1 Rt2/4,3143822,T,RT 4,1331,1340,9,48411,September 2025
3990194,Agus Hidayat,Purwosari 1 Rt2/4,3212113,T,RT 4,1340,1349,9,49491,Oktober 2025
3990194,Agus Hidayat,Purwosari 1 Rt2/4,3305603,T,RT 4,1349,1359,10,55090,November 2025
3990194,Agus Hidayat,Purwosari 1 Rt2/4,3259912,T,RT 4,1359,1368,9,42417,Desember 2025
3990194,Agus Hidayat,Purwosari 1 Rt2/4,3398073,T,RT 4,1368,1377,9,45135,Januari 2026
3990194,Agus Hidayat,Purwosari 1 Rt2/4,3586626,T,RT 4,1377,1387,10,50270,Februari 2026
3990195,Siti Utama,Lamper 14 Rt7/1,3299121,T,RT 3,3233,3240,7,41741,September 2025
3990195,Siti Utama,Lamper 14 Rt7/1,3156096,T,RT 3,3240,3247,7,43911,Oktober 2025
3990195,Siti Utama,Lamper 14 Rt7/1,3179888,Y,RT 3,3247,3253,6,38838,November 2025
3990195,Siti Utama,Lamper 14 Rt7/1,3141954,T,RT 3,3253,3259,6,28950,Desember 2025
3990195,Siti Utama,Lamper 14 Rt7/1,3424809,T,RT 3,3259,3267,8,42728,Januari 2026
3990195,Siti Utama,Lamper 14 Rt7/1,3564271,T,RT 3,3267,3275,8,42864,Februari 2026
3990196,Rizky Santoso,Kinibalu 16 Rt3/8,3329016,T,RT 3,9106,9114,8,46448,September 2025
3990196,Rizky Santoso,Kinibalu 16 Rt3/8,3760284,T,RT 3,9114,9122,8,39488,Oktober 2025
3990196,Rizky Santoso,Kinibalu 16 Rt3/8,3723813,Y,RT 3,9122,9129,7,36876,November 2025
3990196,Rizky Santoso,Kinibalu 16 Rt3/8,3115385,T,RT 3,9129,9137,8,37888,Desember 2025
3990196,Rizky Santoso,Kinibalu 16 Rt3/8,3217369,T,RT 3,9137,9144,7,36862,Januari 2026
3990196,Rizky Santoso,Kinibalu 16 Rt3/8,3353724,T,RT 3,9144,9152,8,43920,Februari 2026
3990197,Budi Hidayat,Bayem 16 Rt5/6,3579551,T,RT 5,8795,8821,26,176124,September 2025
3990197,Budi Hidayat,Bayem 16 Rt5/6,3892425,T,RT 5,8821,8844,23,131215,Oktober 2025
3990197,Budi Hidayat,Bayem 16 Rt5/6,3929374,T,RT 5,8844,8868,24,138192,November 2025
3990197,Budi Hidayat,Bayem 16 Rt5/6,3537743,T,RT 5,8868,8892,24,118368,Desember 2025
3990197,Budi Hidayat,Bayem 16 Rt5/6,3225604,T,RT 5,8892,8916,24,117936,Januari 2026
3990197,Budi Hidayat,Bayem 16 Rt5/6,3840970,T,RT 5,8916,8941,25,153725,Februari 2026
3990198,Siti Kusuma,Bayem 4 Rt6/2,3644653,T,RT 3,5938,5952,14,70854,September 2025
3990198,Siti Kusuma,Bayem 4 Rt6/2,3709762,T,RT 3,5952,5965,13,70252,Oktober 2025
3990198,Siti Kusuma,Bayem 4 Rt6/2,3801517,T,RT 3,5965,5978,13,70642,November 2025
3990198,Siti Kusuma,Bayem 4 Rt6/2,3100294,T,RT 3,5978,5992,14,64036,Desember 2025
3990198,Siti Kusuma,Bayem 4 Rt6/2,3745099,T,RT 3,5992,6005,13,63323,Januari 2026
3990198,Siti Kusuma,Bayem 4 Rt6/2,3420580,T,RT 3,6005,6020,15,85110,Februari 2026
3990199,Maya Hidayat,Karang Kimpul 19 Rt3/5,3464939,T,RT 4,8111,8126,15,99210,September 2025
3990199,Maya Hidayat,Karang Kimpul 19 Rt3/5,3593377,T,RT 4,8126,8139,13,74880,Oktober 2025
3990199,Maya Hidayat,Karang Kimpul 19 Rt3/5,3727867,T,RT 4,8139,8150,11,74459,November 2025
3990199,Maya Hidayat,Karang Kimpul 19 Rt3/5,3989808,T,RT 4,8150,8163,13,73853,Desember 2025
3990199,Maya Hidayat,Karang Kimpul 19 Rt3/5,3579095,T,RT 4,8163,8175,12,56736,Januari 2026
3990199,Maya Hidayat,Karang Kimpul 19 Rt3/5,3501063,Y,RT 4,8175,8187,12,69756,Februari 2026
3990200,Fajar Sari,Rogojembangan 1 Rt2/9,3913171,Y,Niaga 3,7854,8010,156,807144,September 2025
3990200,Fajar Sari,Rogojembangan 1 Rt2/9,3333169,T,Niaga 3,8010,8170,160,1108160,Oktober 2025
3990200,Fajar Sari,Rogojembangan 1 Rt2/9,3217996,T,Niaga 3,8170,8330,160,1066400,November 2025
3990200,Fajar Sari,Rogojembangan 1 Rt2/9,3679844,T,Niaga 3,8330,8495,165,1096755,Desember 2025
3990200,Fajar Sari,Rogojembangan 1 Rt2/9,3366926,T,Niaga 3,8495,8650,155,1024550,Januari 2026
3990200,Fajar Sari,Rogojembangan 1 Rt2/9,3250534,T,Niaga 3,8650,8785,135,706995,Februari 2026
3990201,Lina Utama,Kinibalu 14 Rt5/2,3899595,T,Niaga 3,2387,2481,94,501396,September 2025
3990201,Lina Utama,Kinibalu 14 Rt5/2,3767897,T,Niaga 3,2481,2570,89,489589,Oktober 2025
3990201,Lina Utama,Kinibalu 14 Rt5/2,3394358,Y,Niaga 3,2570,2667,97,517398,November 2025
3990201,Lina Utama,Kinibalu 14 Rt5/2,3876646,T,Niaga 3,2667,2763,96,597504,Desember 2025
3990201,Lina Utama,Kinibalu 14 Rt5/2,3600850,T,Niaga 3,2763,2862,99,576873,Januari 2026
3990201,Lina Utama,Kinibalu 14 Rt5/2,3216908,T,Niaga 3,2862,2952,90,478350,Februari 2026
3990202,Dewi Setiawan,Karang Kimpul 19 Rt7/7,3167194,T,RT 4,6193,6207,14,65968,September 2025
3990202,Dewi Setiawan,Karang Kimpul 19 Rt7/7,3145807,T,RT 4,6207,6220,13,70564,Oktober 2025
3990202,Dewi Setiawan,Karang Kimpul 19 Rt7/7,3638065,T,RT 4,6220,6232,12,55248,November 2025
3990202,Dewi Setiawan,Karang Kimpul 19 Rt7/7,3409963,Y,RT 4,6232,6245,13,68497,Desember 2025
3990202,Dewi Setiawan,Karang Kimpul 19 Rt7/7,3758653,T,RT 4,6245,6257,12,58536,Januari 2026
3990202,Dewi Setiawan,Karang Kimpul 19 Rt7/7,3509824,T,RT 4,6257,6269,12,70464,Februari 2026
3990203,Lina Utama,Purwosari 5 Rt6/1,3551069,T,Niaga 1,8271,8297,26,177736,September 2025
3990203,Lina Utama,Purwosari 5 Rt6/1,3377255,Y,Niaga 1,8297,8325,28,147952,Oktober 2025
3990203,Lina Utama,Purwosari 5 Rt6/1,3281446,T,Niaga 1,8325,8351,26,163202,November 2025
3990203,Lina Utama,Purwosari 5 Rt6/1,3865523,T,Niaga 1,8351,8379,28,163324,Desember 2025
3990203,Lina Utama,Purwosari 5 Rt6/1,3722561,T,Niaga 1,8379,8409,30,139530,Januari 2026
3990203,Lina Utama,Purwosari 5 Rt6/1,3219815,T,Niaga 1,8409,8434,25,155275,Februari 2026
3990204,Ahmad Santoso,Rogojembangan 8 Rt6/5,3748565,T,RT 4,8246,8260,14,95970,September 2025
3990204,Ahmad Santoso,Rogojembangan 8 Rt6/5,3372827,T,RT 4,8260,8271,11,69564,Oktober 2025
3990204,Ahmad Santoso,Rogojembangan 8 Rt6/5,3111017,T,RT 4,8271,8282,11,62920,November 2025
3990204,Ahmad Santoso,Rogojembangan 8 Rt6/5,3654636,T,RT 4,8282,8296,14,64596,Desember 2025
3990204,Ahmad Santoso,Rogojembangan 8 Rt6/5,3362512,T,RT 4,8296,8309,13,71084,Januari 2026
3990204,Ahmad Santoso,Rogojembangan 8 Rt6/5,3660139,Y,RT 4,8309,8322,13,70278,Februari 2026
3990205,Budi Santoso,Karang Kimpul 11 Rt6/6,3847365,T,RT 4,1823,1836,13,77194,September 2025
3990205,Budi Santoso,Karang Kimpul 11 Rt6/6,3329171,T,RT 4,1836,1850,14,72898,Oktober 2025
3990205,Budi Santoso,Karang Kimpul 11 Rt6/6,3277254,T,RT 4,1850,1865,15,82770,November 2025
3990205,Budi Santoso,Karang Kimpul 11 Rt6/6,3694486,T,RT 4,1865,1880,15,82770,Desember 2025
3990205,Budi Santoso,Karang Kimpul 11 Rt6/6,3211030,T,RT 4,1880,1882,2,11712,Januari 2026
3990205,Budi Santoso,Karang Kimpul 11 Rt6/6,3433964,T,RT 4,1882,1884,2,13354,Februari 2026
3990206,Siti Setiawan,Purwosari 15 Rt1/4,3907274,T,Niaga 2,8903,8997,94,637978,September 2025
3990206,Siti Setiawan,Purwosari 15 Rt1/4,3138744,T,Niaga 2,8997,9090,93,480531,Oktober 2025
3990206,Siti Setiawan,Purwosari 15 Rt1/4,3627938,Y,Niaga 2,9090,9181,91,546273,November 2025
3990206,Siti Setiawan,Purwosari 15 Rt1/4,3889622,T,Niaga 2,9181,9273,92,570584,Desember 2025
3990206,Siti Setiawan,Purwosari 15 Rt1/4,3278157,T,Niaga 2,9273,9361,88,511456,Januari 2026
3990206,Siti Setiawan,Purwosari 15 Rt1/4,3816442,T,Niaga 2,9361,9445,84,496020,Februari 2026
3990207,Hendra Setiawan,Medoho 17 Rt3/2,3352515,T,Niaga 2,3423,3468,45,230220,September 2025
3990207,Hendra Setiawan,Medoho 17 Rt3/2,3350768,T,Niaga 2,3468,3507,39,195078,Oktober 2025
3990207,Hendra Setiawan,Medoho 17 Rt3/2,3671224,T,Niaga 2,3507,3554,47,288157,November 2025
3990207,Hendra Setiawan,Medoho 17 Rt3/2,3661669,Y,Niaga 2,3554,3598,44,240856,Desember 2025
3990207,Hendra Setiawan,Medoho 17 Rt3/2,3435863,T,Niaga 2,3598,3641,43,291411,Januari 2026
3990207,Hendra Setiawan,Medoho 17 Rt3/2,3743012,Y,Niaga 2,3641,3686,45,262845,Februari 2026
3990208,Yuni Lestari,Medoho 11 Rt2/8,3861269,T,RT 4,1581,1589,8,54144,September 2025
3990208,Yuni Lestari,Medoho 11 Rt2/8,3885786,T,RT 4,1589,1598,9,54387,Oktober 2025
3990208,Yuni Lestari,Medoho 11 Rt2/8,3377834,T,RT 4,1598,1607,9,41949,November 2025
3990208,Yuni Lestari,Medoho 11 Rt2/8,3636350,T,RT 4,1607,1616,9,60372,Desember 2025
3990208,Yuni Lestari,Medoho 11 Rt2/8,3818960,T,RT 4,1616,1625,9,48501,Januari 2026
3990208,Yuni Lestari,Medoho 11 Rt2/8,3783565,T,RT 4,1625,1634,9,59130,Februari 2026
3990209,Rina Lestari,Cerme 6 Rt4/2,3934938,T,Niaga 3,5607,5782,175,933975,September 2025
3990209,Rina Lestari,Cerme 6 Rt4/2,3521153,T,Niaga 3,5782,5951,169,876434,Oktober 2025
3990209,Rina Lestari,Cerme 6 Rt4/2,3405745,T,Niaga 3,5951,5975,24,115728,November 2025
3990209,Rina Lestari,Cerme 6 Rt4/2,3613223,T,Niaga 3,5975,6901,926,4892058,Desember 2025
3990209,Rina Lestari,Cerme 6 Rt4/2,3514384,T,Niaga 3,6901,7078,177,1068195,Januari 2026
3990209,Rina Lestari,Cerme 6 Rt4/2,3521001,T,Niaga 3,7078,7241,163,1022336,Februari 2026
3990210,Hendra Santoso,Kedondong 4 Rt5/5,3477721,T,Niaga 2,3686,3759,73,399018,September 2025
3990210,Hendra Santoso,Kedondong 4 Rt5/5,3137310,T,Niaga 2,3759,3834,75,340050,Oktober 2025
3990210,Hendra Santoso,Kedondong 4 Rt5/5,3401033,Y,Niaga 2,3834,3898,64,326016,November 2025
3990210,Hendra Santoso,Kedondong 4 Rt5/5,3674543,Y,Niaga 2,3898,3973,75,363225,Desember 2025
3990210,Hendra Santoso,Kedondong 4 Rt5/5,3912390,Y,Niaga 2,3973,4048,75,481575,Januari 2026
3990210,Hendra Santoso,Kedondong 4 Rt5/5,3781505,T,Niaga 2,4048,4126,78,516516,Februari 2026
3990211,Fajar Rahayu,Kinibalu 13 Rt5/1,3592134,Y,RT 5,6062,6100,38,192736,September 2025
3990211,Fajar Rahayu,Kinibalu 13 Rt5/1,3988513,T,RT 5,6100,6140,40,194320,Oktober 2025
3990211,Fajar Rahayu,Kinibalu 13 Rt5/1,3290043,T,RT 5,6140,6178,38,177232,November 2025
3990211,Fajar Rahayu,Kinibalu 13 Rt5/1,3415104,T,RT 5,6178,6214,36,204336,Desember 2025
3990211,Fajar Rahayu,Kinibalu 13 Rt5/1,3218922,T,RT 5,6214,6248,34,156094,Januari 2026
3990211,Fajar Rahayu,Kinibalu 13 Rt5/1,3406020,T,RT 5,6248,6285,37,216672,Februari 2026
3990212,Dewi Wijaya,Salak 9 Rt6/1,3236694,T,RT 3,8140,8154,14,70182,September 2025
3990212,Dewi Wijaya,Salak 9 Rt6/1,3715429,T,RT 3,8154,8168,14,86786,Oktober 2025
3990212,Dewi Wijaya,Salak 9 Rt6/1,3525910,T,RT 3,8168,8179,11,56815,November 2025
3990212,Dewi Wijaya,Salak 9 Rt6/1,3704429,T,RT 3,8179,8193,14,93912,Desember 2025
3990212,Dewi Wijaya,Salak 9 Rt6/1,3855027,T,RT 3,8193,8206,13,66703,Januari 2026
3990212,Dewi Wijaya,Salak 9 Rt6/1,3416759,T,RT 3,8206,8219,13,65247,Februari 2026
3990213,Ahmad Santoso,Salak 15 Rt6/2,3227602,Y,RT 4,9780,9791,11,57750,September 2025
3990213,Ahmad Santoso,Salak 15 Rt6/2,3912002,T,RT 4,9791,9803,12,73548,Oktober 2025
3990213,Ahmad Santoso,Salak 15 Rt6/2,3332362,T,RT 4,9803,9815,12,59712,November 2025
3990213,Ahmad Santoso,Salak 15 Rt6/2,3758772,T,RT 4,9815,9827,12,80688,Desember 2025
3990213,Ahmad Santoso,Salak 15 Rt6/2,3579969,T,RT 4,9827,9841,14,86184,Januari 2026
3990213,Ahmad Santoso,Salak 15 Rt6/2,3901123,Y,RT 4,9841,9853,12,82920,Februari 2026
3990214,Fajar Utama,Kinibalu 13 Rt5/6,3263543,T,RT 5,5968,5999,31,204538,September 2025
3990214,Fajar Utama,Kinibalu 13 Rt5/6,3154213,T,RT 5,5999,6025,26,123552,Oktober 2025
3990214,Fajar Utama,Kinibalu 13 Rt5/6,3382533,T,RT 5,6025,6059,34,220218,November 2025
3990214,Fajar Utama,Kinibalu 13 Rt5/6,3629862,T,RT 5,6059,6090,31,156550,Desember 2025
3990214,Fajar Utama,Kinibalu 13 Rt5/6,3564535,T,RT 5,6090,6122,32,154016,Januari 2026
3990214,Fajar Utama,Kinibalu 13 Rt5/6,3156572,T,RT 5,6122,6151,29,168490,Februari 2026
3990215,Lina Rahayu,Rogojembangan 15 Rt3/6,3121390,Y,Niaga 2,9795,9860,65,430170,September 2025
3990215,Lina Rahayu,Rogojembangan 15 Rt3/6,3324872,T,Niaga 2,9860,9923,63,371385,Oktober 2025
3990215,Lina Rahayu,Rogojembangan 15 Rt3/6,3741629,T,Niaga 2,9923,9982,59,380963,November 2025
3990215,Lina Rahayu,Rogojembangan 15 Rt3/6,3178113,T,Niaga 2,9982,10037,55,307340,Desember 2025
3990215,Lina Rahayu,Rogojembangan 15 Rt3/6,3495412,T,Niaga 2,10037,10097,60,298200,Januari 2026
3990215,Lina Rahayu,Rogojembangan 15 Rt3/6,3346549,T,Niaga 2,10097,10164,67,465181,Februari 2026
3990216,Budi Santoso,Purwosari 14 Rt4/5,3280645,T,RT 3,9502,9514,12,62460,September 2025
3990216,Budi Santoso,Purwosari 14 Rt4/5,3387906,T,RT 3,9514,9528,14,76244,Oktober 2025
3990216,Budi Santoso,Purwosari 14 Rt4/5,3617257,T,RT 3,9528,9540,12,58632,November 2025
3990216,Budi Santoso,Purwosari 14 Rt4/5,3254030,T,RT 3,9540,9552,12,62580,Desember 2025
3990216,Budi Santoso,Purwosari 14 Rt4/5,3362199,T,RT 3,9552,9565,13,85449,Januari 2026
3990216,Budi Santoso,Purwosari 14 Rt4/5,3201505,T,RT 3,9565,9577,12,55260,Februari 2026
3990217,Yuni Utama,Kinibalu 9 Rt6/2,3722696,T,Niaga 1,6684,6733,49,264796,September 2025
3990217,Yuni Utama,Kinibalu 9 Rt6/2,3160107,T,Niaga 1,6733,6781,48,222960,Oktober 2025
3990217,Yuni Utama,Kinibalu 9 Rt6/2,3317984,Y,Niaga 1,6781,6829,48,253584,November 2025
3990217,Yuni Utama,Kinibalu 9 Rt6/2,3910194,T,Niaga 1,6829,6884,55,274230,Desember 2025
3990217,Yuni Utama,Kinibalu 9 Rt6/2,3962781,T,Niaga 1,6884,6936,52,351572,Januari 2026
3990217,Yuni Utama,Kinibalu 9 Rt6/2,3606528,Y,Niaga 1,6936,6986,50,244000,Februari 2026
3990218,Wahyu Kusuma,Salak 11 Rt1/8,3353564,T,RT 4,8756,8774,18,117396,September 2025
3990218,Wahyu Kusuma,Salak 11 Rt1/8,3315432,T,RT 4,8774,8790,16,81536,Oktober 2025
3990218,Wahyu Kusuma,Salak 11 Rt1/8,3694487,T,RT 4,8790,8808,18,100692,November 2025
3990218,Wahyu Kusuma,Salak 11 Rt1/8,3283258,T,RT 4,8808,8823,15,87060,Desember 2025
3990218,Wahyu Kusuma,Salak 11 Rt1/8,3184667,T,RT 4,8823,8839,16,101472,Januari 2026
3990218,Wahyu Kusuma,Salak 11 Rt1/8,3463581,Y,RT 4,8839,8855,16,74688,Februari 2026
3990219,Maya Kusuma,Bayem 15 Rt2/4,3249457,T,RT 3,5541,5555,14,86828,September 2025
3990219,Maya Kusuma,Bayem 15 Rt2/4,3975584,T,RT 3,5555,5567,12,57312,Oktober 2025
3990219,Maya Kusuma,Bayem 15 Rt2/4,3420032,T,RT 3,5567,5569,2,9218,November 2025
3990219,Maya Kusuma,Bayem 15 Rt2/4,3554988,T,RT 3,5569,5570,1,5588,Desember 2025
3990219,Maya Kusuma,Bayem 15 Rt2/4,3531599,T,RT 3,5570,5582,12,72696,Januari 2026
3990219,Maya Kusuma,Bayem 15 Rt2/4,3155612,T,RT 3,5582,5595,13,82329,Februari 2026
3990220,Wahyu Santoso,Karang Kimpul 10 Rt5/2,3662229,Y,Niaga 1,2936,2958,22,151866,September 2025
3990220,Wahyu Santoso,Karang Kimpul 10 Rt5/2,3535157,T,Niaga 1,2958,2982,24,163488,Oktober 2025
3990220,Wahyu Santoso,Karang Kimpul 10 Rt5/2,3398113,T,Niaga 1,2982,3005,23,144371,November 2025
3990220,Wahyu Santoso,Karang Kimpul 10 Rt5/2,3781065,T,Niaga 1,3005,3027,22,133474,Desember 2025
3990220,Wahyu Santoso,Karang Kimpul 10 Rt5/2,3250641,T,Niaga 1,3027,3049,22,128656,Januari 2026
3990220,Wahyu Santoso,Karang Kimpul 10 Rt5/2,3256810,T,Niaga 1,3049,3073,24,136536,Februari 2026
3990221,Dewi Kusuma,Lamper 18 Rt1/2,3656357,T,RT 3,4272,4278,6,41952,September 2025
3990221,Dewi Kusuma,Lamper 18 Rt1/2,3503311,T,RT 3,4278,4284,6,36876,Oktober 2025
3990221,Dewi Kusuma,Lamper 18 Rt1/2,3540126,T,RT 3,4284,4290,6,38166,November 2025
3990221,Dewi Kusuma,Lamper 18 Rt1/2,3531231,T,RT 3,4290,4297,7,39186,Desember 2025
3990221,Dewi Kusuma,Lamper 18 Rt1/2,3425145,T,RT 3,4297,4303,6,40236,Januari 2026
3990221,Dewi Kusuma,Lamper 18 Rt1/2,3309966,T,RT 3,4303,4309,6,39420,Februari 2026
3990222,Siti Rahayu,Karang Kimpul 13 Rt3/9,3905983,T,RT 3,7837,7848,11,63283,September 2025
3990222,Siti Rahayu,Karang Kimpul 13 Rt3/9,3987963,T,RT 3,7848,7858,10,69250,Oktober 2025
3990222,Siti Rahayu,Karang Kimpul 13 Rt3/9,3692141,T,RT 3,7858,7870,12,64104,November 2025
3990222,Siti Rahayu,Karang Kimpul 13 Rt3/9,3863210,T,RT 3,7870,7881,11,54439,Desember 2025
3990222,Siti Rahayu,Karang Kimpul 13 Rt3/9,3824071,T,RT 3,7881,7892,11,69839,Januari 2026
3990222,Siti Rahayu,Karang Kimpul 13 Rt3/9,3715837,T,RT 3,7892,7901,9,51597,Februari 2026
3990223,Rizky Wijaya,Purwosari 8 Rt7/3,3637738,Y,RT 4,5323,5332,9,58635,September 2025
3990223,Rizky Wijaya,Purwosari 8 Rt7/3,3611662,T,RT 4,5332,5341,9,50184,Oktober 2025
3990223,Rizky Wijaya,Purwosari 8 Rt7/3,3449230,T,RT 4,5341,5350,9,48321,November 2025
3990223,Rizky Wijaya,Purwosari 8 Rt7/3,3634255,T,RT 4,5350,5359,9,45531,Desember 2025
3990223,Rizky Wijaya,Purwosari 8 Rt7/3,3329192,T,RT 4,5359,5369,10,55990,Januari 2026
3990223,Rizky Wijaya,Purwosari 8 Rt7/3,3352313,T,RT 4,5369,5378,9,47403,Februari 2026
3990224,Rizky Utama,Medoho 19 Rt3/1,3996736,T,RT 4,1244,1256,12,74832,September 2025
3990224,Rizky Utama,Medoho 19 Rt3/1,3484083,T,RT 4,1256,1269,13,76583,Oktober 2025
3990224,Rizky Utama,Medoho 19 Rt3/1,3766252,T,RT 4,1269,1282,13,77597,November 2025
3990224,Rizky Utama,Medoho 19 Rt3/1,3272687,T,RT 4,1282,1294,12,61476,Desember 2025
3990224,Rizky Utama,Medoho 19 Rt3/1,3634140,T,RT 4,1294,1304,10,55260,Januari 2026
3990224,Rizky Utama,Medoho 19 Rt3/1,3479056,T,RT 4,1304,1315,11,60632,Februari 2026
3990225,Fajar Santoso,Cerme 1 Rt6/2,3633037,T,RT 4,5701,5711,10,52450,September 2025
3990225,Fajar Santoso,Cerme 1 Rt6/2,3153175,T,RT 4,5711,5722,11,59851,Oktober 2025
3990225,Fajar Santoso,Cerme 1 Rt6/2,3289400,T,RT 4,5722,5731,9,56025,November 2025
3990225,Fajar Santoso,Cerme 1 Rt6/2,3802290,T,RT 4,5731,5740,9,52524,Desember 2025
3990225,Fajar Santoso,Cerme 1 Rt6/2,3122369,T,RT 4,5740,5750,10,66200,Januari 2026
3990225,Fajar Santoso,Cerme 1 Rt6/2,3119510,T,RT 4,5750,5760,10,56560,Februari 2026
3990226,Yuni Sari,Bayem 15 Rt1/6,3121274,T,RT 5,9529,9550,21,109830,September 2025
3990226,Yuni Sari,Bayem 15 Rt1/6,3816358,T,RT 5,9550,9568,18,83376,Oktober 2025
3990226,Yuni Sari,Bayem 15 Rt1/6,3967190,T,RT 5,9568,9586,18,119844,November 2025
3990226,Yuni Sari,Bayem 15 Rt1/6,3604136,T,RT 5,9586,9604,18,116208,Desember 2025
3990226,Yuni Sari,Bayem 15 Rt1/6,3364954,Y,RT 5,9604,9623,19,129694,Januari 2026
